"Timestamp","What is your primary job role/category?","If comfortable, please specify your exact job title (Optional):","What industry/sector do you work in?","Company size (number of employees)","How many years of work experience do you have?","Work arrangement","What type of computer do you primarily use for work?","RAM (Memory) capacity","Processor (CPU) brand","Processor performance tier (if known)","Specific processor model (Optional - Example: Intel Core i7-13700K, AMD Ryzen 7 5800X, Apple M2):","Number of CPU cores","Processor base speed (GHz)","Primary storage type","Total storage capacity","Graphics card (GPU) type","If you have a dedicated graphics card, specify the model (Optional - Example: NVIDIA RTX 4060, AMD Radeon RX 7600):","Graphics card memory (VRAM)","Operating system","Screen size (for laptops/all-in-ones)","Do you use multiple monitors?","What software/applications do you use regularly?","What is the typical size of files you work with?","What is your budget for a PC?","Primary work activities","How many hours per day do you use your PC for work?","Do you run multiple applications simultaneously?","Rate the intensity of your typical workload:","Is your current PC sufficient for your work requirements?","What performance issues do you experience?","How often does your PC slow down or struggle during work?","Do you experience power interruptions at your location?","Do you use a UPS or generator?","What type of internet connection do you use for work?","If you could upgrade your PC, what would you prioritize?","When was your current PC purchased or assigned to you?","PC form factor preference?","Portability requirement?","Any additional comments about your PC specifications, work requirements, or suggestions for the PC recommendation system?"
"2026/02/18 9:15:22 AM GMT+5:30","Software Developer/Engineer","Full Stack Developer","Information Technology (IT)","51-200 (Medium-sized business)","4-6 years","Hybrid","Desktop PC (Custom built)","32 GB","Intel","High-end (i7, Ryzen 7, M2/M3)","Intel Core i7-12700K","12 cores","3.6 GHz","NVMe SSD (Faster PCIe SSD)","1 TB","Mid-range dedicated GPU (RTX 3060, RX 6700 XT)","NVIDIA RTX 3060 Ti","8 GB","Windows 11","24 inches (external monitor)","Dual monitors","VS Code, Docker, Postman, Figma, Chrome (multiple tabs)","Medium (10 MB - 100 MB)","Above LKR 300,000","Full-stack development, DevOps","8-10 hours","Frequently (6-10 applications at a time)","4 - Heavy (video editing, 3D rendering, VM)","Yes, fully meets my needs","No performance issues","Never","Rarely (1-2 hours/month)","Yes (UPS)","Fiber broadband (SLT, Dialog Fiber, etc.)","Faster CPU/Processor;More RAM (memory)","Less than 1 year ago","Desktop PC (Tower/Standard)","No, can be stationary",""
"2026/02/18 9:20:45 AM GMT+5:30","University/College Student (CS/IT)","Computer Science Undergraduate","Education - University","501-1000 (Large organization)","Less than 1 year","On-site (at campus/office)","Standard Laptop","8 GB","Intel","Entry-level (i3, Ryzen 3, M1)","Intel Core i5-1135G7","4 cores","2.4 GHz","SATA SSD (Slower SSD)","256 GB","Integrated graphics (Intel UHD, AMD Radeon)","Intel Iris Xe","Shared","Windows 11","14 inches","Single monitor/screen only","VS Code, Eclipse, IntelliJ IDEA, Chrome, MS Office","Small (Under 10 MB)","LKR 100,000 - 150,000","Programming assignments, research, documentation","4-6 hours","Moderately (3-5 applications at a time)","2 - Light (document editing, web browsing)","Partially (some tasks are slow or require workarounds)","Slow boot times;System freezes/lag;Application crashes","Occasionally (2-3 times per week)","Frequently (3-4 hours/week)","Not needed","Fiber broadband (University network)","Faster CPU/Processor;More RAM (memory);Faster storage (SSD upgrade)","2-3 years ago","Windows Laptop","Must be portable (travel frequently for work)","Need better performance for coding and virtualization"
"2026/02/18 9:25:30 AM GMT+5:30","IT Support/Helpdesk","IT Support Technician","Information Technology (IT)","1-10 (Small business/Startup)","2-3 years","On-site (at campus/office)","Standard Laptop","16 GB","Intel","Mid-range (i5, Ryzen 5, M1/M2)","Intel Core i5-1240P","10 cores","1.7 GHz","NVMe SSD (Faster PCIe SSD)","512 GB","Integrated graphics (Intel UHD, AMD Radeon)","Intel UHD Graphics","Shared","Windows 11","15 inches","Dual monitors","Remote Desktop, TeamViewer, Chrome, MS Office, Ticketing systems","Small (Under 10 MB)","LKR 200,000 - 250,000","Remote support, system administration, troubleshooting","6-8 hours","Frequently (6-10 applications at a time)","3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs","No performance issues","Rarely (once a week or less)","Frequently (3-4 hours/week)","Yes (UPS)","Fiber broadband (SLT, Dialog Fiber, etc.)","Faster CPU/Processor;Larger or faster storage (SSD upgrade)","1-2 years ago","Windows Laptop","No, can be stationary",""
"2026/02/18 9:30:15 AM GMT+5:30","Data Scientist/Analyst","Data Analyst","Information Technology (IT)","201-500 (Large organization)","4-6 years","Remote/Work from home","Desktop PC (Custom built)","64 GB","AMD","High-end (i7, Ryzen 7, M2/M3)","AMD Ryzen 9 5950X","16 cores","3.4 GHz","NVMe SSD (Faster PCIe SSD)","2 TB","High-end dedicated GPU (RTX 4070, RX 7800 XT)","NVIDIA RTX 4070","12 GB","Windows 11","27 inches (external monitor)","Triple monitors","Python, R Studio, Jupyter, Tableau, Power BI, Excel","Large files (100 MB - 1 GB)","Above LKR 300,000","Data analysis, machine learning, visualization","8-10 hours","Frequently (6-10 applications at a time)","4 - Heavy (video editing, 3D rendering, VM)","Yes, fully meets my needs","No performance issues","Never","Rarely (1-2 hours/month)","Yes (UPS)","Fiber broadband (SLT, Dialog Fiber, etc.)","More RAM (memory);Larger or faster storage (SSD upgrade)","Less than 1 year ago","Desktop PC (Tower/Standard)","No, can be stationary",""
"2026/02/18 9:35:20 AM GMT+5:30","Graphic Designer/Video Editor","Motion Graphics Designer","Creative Arts/Media","11-50 (Small to medium)","2-3 years","Hybrid","MacBook or Mac desktop","16 GB","Apple","High-end (i7, Ryzen 7, M2/M3)","Apple M2 Pro","10 cores","3.5 GHz","NVMe SSD (Faster PCIe SSD)","1 TB","Mid-range dedicated GPU (RTX 3060, RX 6700 XT)","Apple M2 Pro GPU","16 GB","macOS","14 inches","Single monitor/screen only","Adobe Creative Suite (After Effects, Premiere Pro, Photoshop), DaVinci Resolve","Large files (100 MB - 1 GB)","Above LKR 300,000","Video editing, motion graphics, color grading","6-8 hours","Frequently (6-10 applications at a time)","4 - Heavy (video editing, 3D rendering, VM)","Yes, fully meets my needs","No performance issues","Rarely (once a week or less)","Rarely (1-2 hours/month)","Not needed","Fiber broadband (Dialog Fiber, SLT)","Larger or faster storage (SSD upgrade);Faster CPU/Processor;More RAM (memory)","1-2 years ago","MacBook or Mac desktop","Must be portable (travel frequently for work)","Need more storage for video projects"
"2026/02/18 9:40:55 AM GMT+5:30","Network Administrator","Network Engineer","Information Technology (IT)","51-200 (Medium-sized business)","7-10 years","On-site (at campus/office)","Desktop PC (Standard)","16 GB","Intel","Mid-range (i5, Ryzen 5, M1/M2)","Intel Core i5-12500","6 cores","3.0 GHz","NVMe SSD (Faster PCIe SSD)","512 GB","Integrated graphics (Intel UHD, AMD Radeon)","Intel UHD Graphics 770","Shared","Windows 11","22 inches (external monitor)","Dual monitors","Wireshark, PuTTY, Cisco Packet Tracer, SSH clients, monitoring tools","Small (Under 10 MB)","LKR 200,000 - 250,000","Network configuration, monitoring, troubleshooting","8-10 hours","Frequently (6-10 applications at a time)","3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs","No performance issues","Rarely (once a week or less)","Frequently (3-4 hours/week)","Yes (UPS)","Fiber broadband (SLT Leased Line)","Faster CPU/Processor;More RAM (memory)","2-3 years ago","Desktop PC (Tower/Standard)","No, can be stationary",""
"2026/02/18 9:45:30 AM GMT+5:30","University/College Student (CS/IT)","Information Technology Undergraduate","Education - University","1000+ (Enterprise)","Less than 1 year","On-site (at campus/office)","Budget Laptop","4 GB","Intel","Entry-level (i3, Ryzen 3, M1)","Intel Celeron N4020","2 cores","1.1 GHz","eMMC storage","64 GB","Integrated graphics (Intel UHD, AMD Radeon)","Intel UHD Graphics 600","Shared","Windows 11 Home","14 inches","Single monitor/screen only","Chrome, MS Office, VS Code (basic), Zoom","Small (Under 10 MB)","Under LKR 100,000","Online classes, basic programming, assignments","4-6 hours","Occasionally (2-3 apps at a time)","1 - Very light (email, web browsing)","No (insufficient for my needs)","Slow boot times;System freezes/lag;Overheating;Battery drain (for laptops)","Frequently (multiple times daily)","Frequently (3-4 hours/week)","Not needed","Mobile broadband (4G/5G dongle)","Faster CPU/Processor;More RAM (memory);Faster storage (SSD upgrade)","More than 3 years ago","Windows Laptop","Must be portable (travel frequently for work)","Laptop is very slow, need upgrade urgently"
"2026/02/18 9:50:45 AM GMT+5:30","Mobile App Developer","Flutter Developer","Information Technology (IT)","11-50 (Small to medium)","2-3 years","Remote/Work from home","MacBook or Mac desktop","16 GB","Apple","Mid-range (i5, Ryzen 5, M1/M2)","Apple M1","8 cores","3.2 GHz","NVMe SSD (Faster PCIe SSD)","512 GB","Integrated graphics (Intel UHD, AMD Radeon)","Apple M1 GPU","Shared","macOS","13 inches","Single monitor/screen only","Xcode, Android Studio, VS Code, Flutter SDK, Simulator","Medium (10 MB - 100 MB)","Above LKR 300,000","Mobile app development, testing, debugging","6-8 hours","Frequently (6-10 applications at a time)","3 - Moderate (programming, data analysis, photo editing)","Yes, fully meets my needs","No performance issues","Never","Rarely (1-2 hours/month)","Not needed","Fiber broadband (SLT, Dialog Fiber, etc.)","Larger or faster storage (SSD upgrade);More RAM (memory)","1-2 years ago","MacBook or Mac desktop","Must be portable (travel frequently for work)",""
"2026/02/18 9:55:10 AM GMT+5:30","Cybersecurity Specialist","Security Analyst","Information Technology (IT)","201-500 (Large organization)","4-6 years","Hybrid","Gaming Laptop","32 GB","AMD","High-end (i7, Ryzen 7, M2/M3)","AMD Ryzen 7 5800H","8 cores","3.2 GHz","NVMe SSD (Faster PCIe SSD)","1 TB","Mid-range dedicated GPU (RTX 3060, RX 6700 XT)","NVIDIA RTX 3060","6 GB","Windows 11","15 inches","Dual monitors","Kali Linux, Wireshark, Metasploit, Burp Suite, VMs","Small (Under 10 MB)","Above LKR 300,000","Penetration testing, vulnerability assessment, monitoring","8-10 hours","Frequently (6-10 applications at a time)","4 - Heavy (video editing, 3D rendering, VM)","Yes, fully meets my needs","No performance issues","Rarely (once a week or less)","Occasionally (1-2 hours/week)","Yes (UPS)","Fiber broadband (SLT, Dialog Fiber, etc.)","More RAM (memory);Faster CPU/Processor;Larger or faster storage (SSD upgrade)","1-2 years ago","Windows Laptop","Must be portable (travel frequently for work)",""
